FE1,FE2,FE3,FE4,FE5,FE6,FE7,FE8,FE9,FE10,FE11,FE12,FE13,FE14,FE15,FE16,FE17,FE18,FE19,FE20,FE21,FE22,FE23,FE24,FE25,FE26,FE27,FE28,FE29,FE30,FE31,FE32,Age,Race,Gender,Education,Industry,Occupation,Hours,Years,WorkSituation,OOP1,OOP2,OOP3,OOP4,OOP5,FO1,FO2,FO3,FO4,FO5,FO6,FO7,FO8,FO9,FO10,FO11,FO12,FO13,FO14,FO15,FO16,FO17,FO18,FO19,FO20,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,GO1,GO2,GO3,GO4,GO5,GO6,GO7,GO8,GO9,GO10,GO11,GO12,GO13,class,ID
5,6,1,5,6,6,6,7,6,2,5,5,6,2,7,5,4,5,4,5,6,6,6,5,3,3,5,4,2,3,6,4,20,5,1,2,10,dishwasher,32,7,1,5,6,4,4,5,4,4,5,5,4,4,4,3,4,5,4,4,4,5,5,4,4,5,4,4,5,5,5,5,5,3,4,5,5,5,5,4,5,4,5,6,6,5,5,7,6,6,5,7,6,6,5,5,4,4,3,4,2,562
6,6,2,6,6,6,6,6,6,2,6,6,6,2,2,6,2,6,6,4,6,6,5,6,2,5,2,7,2,2,5,6,29,1,1,5,4,qa,40,25,5,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,1,4,4,5,5,5,5,5,3,5,5,2,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,4,1,1,1,1,1,2,250
6,6,2,6,6,5,6,6,5,2,6,5,2,2,5,5,3,6,5,6,7,6,5,6,3,2,6,2,2,3,6,5,16,1,1,4,8,Software Sales,40,16,6,6,6,5,6,6,4,4,5,4,4,5,4,2,4,4,4,5,5,5,4,4,3,4,2,4,5,5,4,4,5,5,4,4,4,5,5,4,3,2,2,3,2,2,3,6,5,5,6,6,5,5,6,5,5,6,6,6,3,294
3,2,7,3,2,2,2,2,1,7,2,2,7,7,2,2,6,2,2,7,7,7,7,2,1,1,7,1,4,4,2,2,8,1,1,5,8,Warehouse Assistant,28,2,1,3,5,6,7,7,4,2,2,3,2,4,4,2,2,2,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,3,2,2,3,3,2,3,1,1,1,1,1,1,5,5,5,1,4,1,1,1,1,1,1,1,1,1,94
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,1,7,7,1,1,7,1,1,1,1,7,14,2,1,5,10,programmer,40,9,1,6,6,1,1,1,5,5,5,5,5,5,5,1,1,4,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,1,4,3,5,1,1,1,7,7,7,7,7,1,4,1,4,1,1,4,1,3,13
7,6,1,6,6,6,6,6,6,1,6,6,1,1,6,6,4,5,4,6,6,6,6,5,2,2,6,5,2,2,6,2,37,1,2,5,4,Compliance associate,45,35,6,5,5,5,5,2,2,2,3,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,5,5,5,5,5,5,5,5,5,4,2,4,4,3,3,3,3,3,3,5,3,3,3,5,3,4,5,3,5,5,5,5,3,202
7,7,1,7,6,6,6,6,6,1,6,7,1,1,6,6,1,6,6,5,2,3,3,6,1,1,7,1,1,1,7,5,19,1,1,6,3,Case Manager,40,13,1,5,5,2,1,1,4,5,5,5,4,5,4,2,4,4,4,2,4,2,2,2,2,4,2,4,4,5,5,5,5,5,5,4,3,4,3,3,3,3,3,3,1,1,1,6,5,2,6,6,1,1,2,3,5,6,5,7,3,50
5,3,6,2,2,3,2,2,2,6,2,1,7,7,2,2,6,2,2,7,4,7,7,2,5,2,7,3,4,4,2,1,18,1,2,5,4,patient care coordinator,40,17,1,7,7,7,7,7,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,4,3,3,5,5,5,5,5,5,4,4,5,3,5,5,2,3,3,3,2,2,3,2,4,2,2,2,3,3,3,3,5,5,5,5,1,320
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,6,6,6,6,7,1,1,7,1,1,1,7,7,21,1,2,5,4,Insurance claims specialist,40,10,1,5,6,2,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,2,2,1,1,1,6,6,7,5,6,3,4,3,3,6,6,6,6,3,305
6,7,1,6,7,6,6,6,6,1,6,6,1,1,6,7,1,6,7,5,5,5,4,6,1,1,6,2,1,2,7,6,29,1,1,4,9,Office Services Site Manager,40,22,1,5,6,3,5,3,4,4,5,4,4,5,5,3,4,5,4,4,3,5,4,5,3,5,4,5,4,4,5,4,4,4,3,4,3,4,3,3,3,1,2,2,1,2,1,5,5,5,5,4,2,2,4,4,4,1,2,1,3,343
6,6,2,6,5,5,5,6,5,5,6,6,2,2,6,6,5,5,3,3,3,2,2,3,5,2,6,6,2,2,3,2,30,1,1,6,3,Academic Director,38,21,1,3,5,5,2,3,4,4,4,5,4,4,4,4,5,5,4,4,3,4,4,4,3,4,4,4,4,4,5,5,5,5,4,4,3,4,4,3,4,5,3,4,5,4,5,6,7,6,6,7,2,4,3,2,2,2,2,2,2,372
6,7,1,6,6,7,7,6,6,2,6,6,1,2,6,6,3,6,6,4,5,6,6,5,2,1,3,2,2,1,6,6,7,1,1,5,10,Software Engineer,40,7,6,5,7,6,5,6,5,4,4,5,5,4,4,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,5,4,4,7,5,5,5,5,7,5,7,7,7,5,7,3,5,5,7,1,3,1,1,3,54
6,6,2,7,6,6,6,6,7,2,6,6,2,2,6,5,3,6,5,6,6,6,5,6,2,1,6,2,2,3,6,6,30,1,2,2,10,Customer Service Rep,40,27,5,5,6,4,3,3,4,3,4,4,4,5,4,4,4,5,4,4,4,3,3,4,3,5,4,4,4,4,5,4,4,4,4,5,3,3,3,3,3,3,5,4,3,3,3,5,6,5,5,5,6,6,5,5,3,2,3,3,3,357
6,6,2,6,6,6,6,6,6,2,6,6,2,2,6,6,2,6,6,6,6,6,5,5,3,2,6,3,2,2,6,4,31,1,1,3,7,senior manager,40,14,1,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,4,5,5,4,4,3,3,3,3,2,2,4,5,2,2,2,5,5,5,5,5,2,4,4,4,2,2,2,2,3,49
