FE1,FE2,FE3,FE4,FE5,FE6,FE7,FE8,FE9,FE10,FE11,FE12,FE13,FE14,FE15,FE16,FE17,FE18,FE19,FE20,FE21,FE22,FE23,FE24,FE25,FE26,FE27,FE28,FE29,FE30,FE31,FE32,Age,Race,Gender,Education,Industry,Occupation,Hours,Years,WorkSituation,OOP1,OOP2,OOP3,OOP4,OOP5,FO1,FO2,FO3,FO4,FO5,FO6,FO7,FO8,FO9,FO10,FO11,FO12,FO13,FO14,FO15,FO16,FO17,FO18,FO19,FO20,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,GO1,GO2,GO3,GO4,GO5,GO6,GO7,GO8,GO9,GO10,GO11,GO12,GO13,class,ID
6,6,2,6,6,6,6,6,6,2,5,6,1,1,5,5,2,6,5,5,6,5,4,5,2,6,1,3,1,4,5,4,48,1,1,5,7,software,40,42,5,6,6,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,2,230
7,7,1,7,7,6,6,6,6,1,7,7,1,1,4,5,3,5,5,5,6,5,5,6,2,3,6,3,1,3,7,7,37,1,1,5,8,sales associate,40,24,1,5,5,4,4,4,4,3,3,3,3,5,5,3,5,4,3,3,3,3,3,3,4,5,4,4,4,5,3,4,4,4,4,3,4,3,2,4,5,4,4,4,4,4,3,5,5,5,6,6,5,4,4,5,4,3,3,3,3,485
6,4,4,4,3,3,3,3,3,5,4,4,4,4,3,4,7,2,2,6,4,3,5,2,6,6,3,4,4,4,3,2,46,1,1,5,4,Field Trainer,35,43,1,3,3,2,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,3,3,4,4,4,4,5,4,4,4,5,4,4,3,3,3,3,3,4,4,4,3,4,4,5,5,5,5,5,4,4,5,4,3,2,3,3,1,371
6,6,2,6,6,5,5,4,5,4,6,6,1,1,6,5,5,4,3,4,2,2,3,5,3,2,6,4,2,2,6,5,54,1,2,2,9,Food prep,36,50,1,3,5,4,3,4,4,3,3,2,2,4,4,3,4,4,3,2,2,3,2,4,4,4,4,4,4,5,5,5,5,4,4,5,3,4,4,3,5,6,3,6,3,3,3,6,6,6,4,4,7,6,6,6,4,4,5,5,2,500
7,7,1,6,6,6,6,6,6,6,7,6,7,1,1,6,5,6,6,6,6,6,5,6,1,1,5,2,2,2,6,6,18,4,1,6,10,Software engineer,40,12,6,6,6,3,7,6,5,5,5,5,5,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,3,389
6,6,1,6,6,7,7,7,7,6,6,7,1,1,4,6,4,5,6,5,5,6,6,6,1,1,6,4,2,4,5,5,26,1,1,6,4,biological manager,40,17,1,6,6,6,7,6,4,4,4,4,5,5,5,3,4,5,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,1,1,1,1,1,1,7,6,7,6,6,6,7,7,6,2,2,2,2,3,58
6,5,3,5,5,4,4,4,3,5,4,5,2,2,2,3,5,3,2,2,2,2,2,2,6,4,6,4,3,5,3,2,19,1,1,5,10,project manager,42,14,1,4,4,2,3,3,2,2,3,3,2,3,4,2,3,4,4,3,3,3,2,2,3,3,3,3,4,4,4,4,5,4,4,4,4,3,2,4,3,3,3,3,5,4,4,3,4,3,3,4,2,3,4,4,6,6,6,6,2,216
2,3,5,3,3,3,3,3,3,5,2,2,5,5,3,2,7,1,1,2,3,2,2,2,6,6,2,2,5,6,1,2,38,1,2,4,10,AI Data Quality Analyst,42,,5,5,4,6,6,6,2,2,4,4,4,2,4,2,2,5,2,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,3,1,1,1,2,1,1,1,4,4,4,3,3,3,2,1,3,6,5,5,6,1,439
5,3,6,4,3,2,4,2,2,6,4,5,6,2,4,6,5,5,3,4,4,4,4,4,3,2,6,5,4,4,3,3,46,1,2,5,3,Library Assistant,40,30,1,3,3,5,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,2,3,3,4,5,5,5,5,5,4,4,4,4,2,3,3,3,3,3,3,3,3,3,5,7,6,6,7,3,4,5,4,3,3,3,4,1,241
7,6,1,6,6,6,6,6,6,1,6,6,1,1,6,6,2,5,5,5,5,5,5,5,2,1,7,2,2,2,6,6,15,1,2,6,10,Forensic Scientist,40,7,1,3,5,2,2,3,4,4,4,4,4,5,4,2,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,5,4,4,4,4,4,4,3,4,2,3,3,3,3,3,3,5,5,5,5,5,3,3,5,5,5,3,5,5,3,379
6,7,1,6,7,7,7,7,7,1,7,7,1,1,7,6,1,7,7,6,6,6,6,7,1,1,6,1,2,1,7,7,15,1,2,5,9,Insurance Underwriter,40,16,5,6,7,2,5,2,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,3,2,2,2,2,2,1,2,5,7,5,7,7,4,6,6,4,3,1,3,1,3,336
6,7,2,6,6,6,7,6,7,3,5,4,4,3,5,6,3,5,6,6,6,5,6,5,3,4,3,5,5,6,4,5,21,1,1,5,10,"Communication, Merketing mana",40,16,1,5,6,4,5,6,4,5,3,4,2,4,5,4,5,2,3,4,4,5,3,5,3,4,3,4,5,5,5,5,4,4,4,4,3,3,4,4,4,2,2,4,2,2,2,6,5,6,4,2,4,6,6,6,4,3,3,2,2,332
6,5,2,6,5,5,5,5,5,2,6,6,2,2,6,6,2,6,6,6,6,6,6,6,2,2,6,2,2,3,6,6,23,1,1,3,4,human services,45,21,1,4,6,3,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,5,5,5,5,5,4,5,4,4,2,2,2,2,3,428
6,6,2,6,6,6,6,6,5,2,6,6,2,2,6,3,2,6,5,3,5,5,5,6,2,2,3,5,2,2,6,5,37,,1,5,9,Hospitality Manager,40,36,1,5,6,2,5,3,4,4,5,2,4,5,5,2,5,5,2,4,4,4,2,4,3,4,4,4,4,5,4,4,4,4,3,5,4,4,4,3,3,3,3,5,5,3,3,2,2,2,2,2,1,1,1,2,2,4,4,4,3,66
5,6,2,6,5,3,3,4,2,6,6,5,1,1,4,4,4,4,3,2,2,2,3,4,5,4,3,6,1,1,6,1,29,1,1,5,10,workstation specialist advanc,37,31,1,1,1,1,1,1,2,2,2,4,2,4,2,3,4,3,4,4,3,2,2,3,2,4,3,4,3,5,4,4,4,5,3,5,5,4,2,5,4,4,2,4,4,4,2,1,4,1,1,1,7,4,7,1,5,4,4,5,2,422
6,6,2,6,6,4,4,5,5,4,6,6,2,1,6,4,6,3,3,7,6,6,6,5,3,3,2,5,3,5,4,3,40,1,2,3,8,inventory specialist,42,40,1,6,6,2,3,2,4,4,4,4,3,5,5,2,5,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,4,3,3,3,3,3,1,1,2,2,1,1,1,7,6,6,6,5,1,1,1,1,1,1,1,1,2,416
7,5,3,6,5,5,5,3,3,5,6,6,6,3,6,6,3,6,5,4,6,6,5,6,2,2,7,2,2,2,6,2,22,1,1,3,10,project manager / IT,44,22,5,6,6,3,5,5,2,2,2,2,2,2,4,4,4,5,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,6,5,5,4,4,4,2,33
2,4,5,4,3,2,2,2,2,6,4,4,4,3,4,5,4,5,5,4,2,2,2,1,6,6,5,3,2,4,6,4,38,1,1,5,10,Recruiting / HR,41,13,1,5,4,4,3,3,1,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,3,1,3,3,3,5,1,7,5,5,5,4,4,4,4,4,2,2,2,1,1,328
5,6,1,6,6,5,5,6,3,5,6,6,2,1,3,5,4,4,5,6,6,5,6,6,3,2,4,3,3,2,3,5,16,1,2,5,7,revenue analyst,40,12,5,6,6,3,5,4,4,4,4,4,4,5,5,4,5,5,5,4,5,4,3,2,2,3,2,3,5,4,4,4,4,4,3,3,3,2,3,4,3,2,2,3,3,2,2,5,2,3,4,2,5,5,6,5,6,5,6,6,2,538
2,2,6,4,3,3,3,3,2,6,3,4,4,3,4,2,7,3,2,2,2,1,1,1,4,7,1,4,1,1,1,1,44,1,2,5,7,human resources,50,33,6,3,2,2,2,2,4,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,3,2,3,3,2,3,2,6,5,6,3,5,3,5,5,5,3,3,3,3,1,178
6,5,3,5,5,4,3,3,4,4,5,5,3,3,5,5,5,4,3,6,5,5,6,4,5,3,6,4,3,4,5,5,6,1,1,5,10,catastrophe risk analyst,40,2,6,6,5,4,5,5,4,4,4,5,4,5,4,3,4,4,5,4,5,5,4,3,3,3,2,3,2,4,3,4,4,3,3,3,4,2,2,3,5,4,5,5,4,3,5,6,5,6,5,5,4,5,4,5,5,4,6,5,2,324
7,7,1,7,7,7,7,7,7,1,7,6,1,1,7,7,1,7,7,6,6,6,6,7,1,1,7,1,1,1,7,7,43,1,2,5,9,IT Architect,40,30,6,3,4,6,4,2,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,3,2,3,3,5,2,1,2,1,3,1,5,5,7,4,7,4,5,7,5,1,1,1,3,3,81
6,5,2,5,5,5,6,6,5,3,5,4,3,3,5,4,5,3,2,5,5,5,6,5,4,1,7,5,4,4,6,2,25,1,1,5,4,Physical therapy assistant,40,19,1,5,6,4,5,5,4,5,5,4,4,4,4,5,4,4,4,5,4,4,4,5,2,5,4,4,4,5,5,5,5,4,4,5,4,3,4,4,3,2,2,3,2,2,3,5,5,6,6,5,3,5,6,5,3,2,2,5,2,105
5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5,5,5,5,5,5,4,5,5,5,2,4,5,5,16,5,1,2,9,Manager food service,,15,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,274
6,7,2,7,7,6,6,7,7,1,6,7,1,1,7,6,1,6,6,5,5,6,7,5,1,1,3,1,1,1,6,5,38,1,1,5,10,Audit Protest Hearing Officer,,35,6,5,6,2,3,2,5,5,5,4,4,5,4,4,5,5,5,4,4,5,3,4,3,5,4,4,4,5,4,4,4,5,4,5,4,5,4,4,2,1,3,1,1,2,2,7,7,7,3,7,7,6,7,6,3,2,3,6,3,26
7,7,1,7,7,7,7,7,7,1,7,7,7,1,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,29,1,2,5,9,Administrative office manager,40,22,6,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,4,5,5,5,6,6,6,6,3,420
7,6,2,6,7,6,6,7,6,1,7,5,1,1,6,7,1,7,5,7,7,7,6,5,1,1,7,3,2,1,7,5,43,,2,2,10,Senior IT manager,45,40,6,7,7,4,7,3,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,4,3,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,3,1,3,1,1,1,1,7,7,6,4,7,5,7,7,6,6,5,7,7,3,243
7,6,2,6,6,6,6,6,6,2,6,7,1,1,7,5,3,5,5,6,6,6,6,6,2,1,6,2,1,2,6,5,39,1,1,5,9,Financial Analyst,50,33,6,7,7,6,7,7,4,4,4,5,4,5,5,4,5,5,4,5,5,5,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,2,2,2,2,2,2,2,7,7,7,6,7,7,7,7,7,2,2,2,2,3,200
7,4,2,5,4,5,5,4,4,6,4,5,1,1,6,1,7,1,1,5,5,5,5,1,4,2,7,7,4,4,4,1,38,1,2,4,9,customer service representati,40,33,5,1,1,1,1,1,2,1,2,3,1,5,5,1,5,3,4,4,3,4,3,5,3,5,5,5,3,4,4,4,4,4,5,1,5,1,1,5,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,2,272
6,7,2,7,7,6,6,7,7,2,7,7,2,1,7,7,2,7,6,5,5,5,5,5,4,2,5,2,2,2,5,4,33,1,2,6,10,librarian,44,34,1,3,5,4,3,2,4,3,2,4,3,4,4,2,4,4,5,4,4,4,3,2,2,4,2,3,3,4,4,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,7,6,6,4,6,4,4,7,5,3,3,3,3,3,152
6,6,1,6,6,6,6,6,6,1,6,6,1,1,6,6,1,6,6,4,3,3,3,6,1,1,6,1,1,2,6,6,38,1,2,5,2,Graphic Designer,40,23,6,5,6,2,4,4,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,3,4,4,3,4,2,2,2,2,2,2,5,5,5,4,5,4,4,4,4,4,3,4,4,3,367
6,6,6,6,6,6,6,6,6,1,6,5,6,1,5,6,1,6,6,6,6,6,6,6,6,1,7,6,1,1,6,6,42,1,2,2,7,auto parts maker called assoc,40,,1,5,6,4,3,3,4,4,4,5,5,4,5,1,4,5,3,4,4,4,4,4,3,5,5,4,4,5,5,5,5,4,4,4,3,3,4,4,1,1,1,1,1,1,1,5,5,4,5,4,2,2,2,2,2,4,2,2,3,96
6,6,1,6,6,5,5,5,5,3,6,7,1,1,7,6,1,7,7,4,3,3,3,6,1,1,7,3,1,1,6,5,27,4,1,4,10,warehouse worker,40,24,1,4,4,2,2,4,4,4,4,4,4,5,4,3,4,3,4,5,4,5,4,4,3,4,4,4,4,5,5,5,5,5,4,5,4,3,4,4,2,2,2,2,2,2,2,7,7,7,7,7,6,4,6,6,2,1,2,2,3,291
5,2,6,2,2,2,2,2,2,4,1,2,6,7,2,3,6,3,3,4,5,7,5,4,6,6,2,2,6,7,1,2,17,1,2,6,10,Director of Cognitive Researc,40,15,6,5,6,4,5,6,4,4,5,5,5,4,5,4,4,3,5,5,4,5,5,5,3,4,4,5,3,4,3,5,4,4,3,3,3,3,4,3,2,3,3,4,2,2,2,7,5,5,5,7,3,3,4,3,4,1,3,3,1,468
7,6,1,7,6,7,6,6,7,5,7,5,5,2,4,6,2,6,6,2,2,2,5,4,6,2,7,2,2,2,4,1,42,1,1,2,8,Social Media Manager.  Manufa,30,42,5,6,6,3,5,3,3,2,4,2,2,4,4,2,4,2,3,3,4,4,4,4,2,4,4,4,4,5,5,4,5,5,5,4,4,4,3,2,3,5,3,3,3,3,3,4,5,5,5,5,3,3,3,3,3,3,3,3,2,155
6,5,2,4,5,6,5,6,5,2,5,4,1,2,4,4,3,5,5,7,6,5,5,5,4,3,4,4,2,2,3,4,15,,2,5,10,Project Coordinator,42,9,6,6,5,4,5,5,4,3,4,5,3,5,4,2,4,3,4,5,5,5,4,2,2,4,2,3,3,5,4,4,4,5,3,3,2,3,4,5,3,4,2,4,3,2,2,5,6,4,3,4,3,4,6,4,3,2,5,4,2,451
7,6,2,6,6,5,5,6,6,2,5,7,2,1,6,5,3,6,5,5,6,6,5,6,2,3,6,4,2,3,6,5,23,1,1,6,3,TEACHER,40,17,1,5,6,3,4,4,4,5,5,4,4,5,4,5,5,5,5,4,5,4,4,5,5,5,5,4,4,4,5,3,4,4,3,4,4,3,2,4,5,4,5,5,3,2,2,5,6,6,5,5,5,6,5,5,6,7,6,5,3,542
7,6,6,6,6,5,6,6,6,5,6,5,6,5,6,5,3,5,6,4,5,5,6,4,3,3,6,3,3,3,5,5,21,1,1,5,9,manager,40,22,1,5,6,5,5,6,4,4,4,4,4,5,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,4,4,4,5,5,5,4,5,4,5,5,4,3,4,3,4,2,42
4,5,5,4,5,5,4,4,4,3,5,4,4,3,4,4,3,4,4,4,5,4,5,4,4,5,3,2,3,4,3,3,55,1,1,5,10,software design,40,45,6,6,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,3,4,4,4,3,4,5,4,5,5,5,4,5,5,3,4,4,5,5,5,6,3,5,4,4,5,5,5,6,4,5,5,5,4,3,3,4,2,193
6,6,2,6,6,6,6,6,6,2,6,6,2,2,6,5,2,6,5,5,5,6,5,3,6,3,4,5,2,3,7,7,28,1,3,5,9,Tax Analyst,50,25,5,5,5,3,2,2,5,5,5,4,4,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,6,2,1,4,4,3,1,1,1,1,3,164
4,3,5,3,4,3,4,2,4,3,4,4,4,4,5,3,4,4,5,4,3,2,4,5,4,4,4,5,5,4,3,3,9,1,1,5,7,Engineer,41,5,6,3,5,3,2,4,2,3,4,4,3,3,4,3,3,2,3,3,2,3,3,3,4,2,1,4,3,4,4,4,3,4,3,3,3,3,2,3,4,5,5,3,3,4,4,5,4,4,4,6,5,4,4,5,4,3,5,5,1,277
5,5,2,5,5,5,5,6,6,5,5,5,4,4,4,4,5,4,4,5,4,5,5,6,2,2,5,5,3,3,5,5,27,1,1,6,10,Engineering Consultant,40,18,6,5,6,4,4,4,4,5,4,4,5,4,5,4,5,5,5,4,5,5,5,4,4,4,4,4,3,4,5,4,4,5,3,3,1,2,2,2,3,1,1,5,1,2,3,7,7,7,6,6,1,2,1,2,2,2,1,1,2,259
7,7,1,7,7,7,7,7,7,1,7,7,7,1,7,7,1,7,7,1,1,7,7,7,1,1,6,1,1,1,7,7,46,1,2,4,8,Assistant manager,56,49,1,7,7,1,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,1,1,1,1,3,424
7,5,4,5,4,3,3,2,2,5,5,5,3,3,6,5,4,5,3,4,4,4,3,5,3,5,2,5,2,2,3,6,31,1,2,6,8,team manager,45,27,5,6,6,3,5,4,3,3,4,4,3,4,4,2,4,3,4,4,4,4,2,2,2,3,3,4,4,5,4,4,5,4,4,4,3,3,4,3,4,4,5,3,4,2,2,5,3,4,3,6,5,4,6,5,4,3,3,4,2,312
6,5,6,7,6,5,6,6,7,5,6,5,6,5,4,6,6,5,6,5,4,6,5,4,6,4,5,6,5,4,5,6,44,1,1,5,10,Sales Manager,38,36,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,4,3,4,4,5,3,4,3,4,4,3,4,5,4,5,4,3,4,5,3,4,5,4,5,6,4,7,6,5,4,5,6,6,7,5,6,5,4,6,2,5,6,5,2,524
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,6,1,1,2,7,7,48,1,2,5,2,Manager,40,44,1,7,7,6,2,2,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,2,1,1,7,7,7,7,7,4,6,7,7,7,4,4,6,3,335
6,6,1,6,6,6,6,6,6,2,6,5,3,3,4,6,3,6,6,5,5,5,5,5,3,2,6,3,2,3,5,4,21,1,1,5,10,Head of Operations,45,16,6,5,6,5,6,5,4,4,4,4,4,5,5,2,4,4,5,5,4,4,4,4,3,4,4,4,4,5,5,5,5,4,4,3,3,3,3,3,6,6,6,6,6,6,6,5,5,5,5,5,3,4,2,5,3,3,3,3,3,91
6,6,2,6,6,6,6,5,5,3,6,5,2,2,6,5,3,6,5,6,6,6,5,6,2,3,5,2,2,2,6,4,46,1,1,6,10,Multi Unit Restaurant Manager,45,42,6,6,6,3,6,3,4,4,5,4,3,4,5,3,4,3,2,4,4,4,4,4,3,4,5,4,4,5,4,4,5,4,4,3,3,4,4,3,2,2,3,3,2,2,3,5,5,5,6,6,2,3,3,2,3,3,3,3,3,448
7,7,1,7,7,6,6,7,6,1,7,3,1,1,5,5,6,3,3,6,6,6,6,6,2,1,7,1,1,5,7,5,17,1,1,4,10,Quality assurance manager,40,15,6,6,7,2,5,3,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,4,5,5,4,5,4,5,4,4,4,5,3,5,4,3,4,4,6,5,3,3,2,1,6,6,6,5,7,6,6,6,7,7,3,2,3,3,3,454
7,7,1,7,7,7,6,7,6,1,7,7,1,1,7,7,1,7,7,7,6,7,7,6,1,1,7,1,1,1,7,7,55,1,2,6,10,team lead,40,44,1,5,5,3,3,3,5,5,5,5,4,5,5,4,5,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,2,4,4,3,2,1,1,1,1,1,1,7,7,7,6,7,7,7,7,7,6,5,6,7,3,403
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,6,5,6,6,6,7,1,1,5,1,1,1,7,7,31,1,1,4,4,Biomedical Technician,43,31,1,6,6,1,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,1,2,2,7,7,7,5,7,6,7,6,7,3,3,3,3,3,447
6,6,7,6,5,6,6,7,6,6,7,6,5,6,6,5,4,5,6,6,5,7,6,6,4,3,3,4,2,5,6,5,21,4,1,6,10,Software Developer,40,11,6,1,6,2,1,2,5,4,4,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,4,5,5,4,4,4,3,5,4,3,4,5,4,5,2,1,2,3,2,1,1,5,6,5,6,7,3,6,5,6,3,5,5,3,2,417
6,6,2,6,6,6,6,6,6,2,6,6,6,2,6,6,2,6,6,6,6,6,6,6,2,2,6,2,2,6,6,6,19,4,1,5,10,Analyst,40,18,6,6,6,3,5,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,5,5,5,5,4,4,4,4,4,5,5,3,3,3,3,3,3,3,5,5,5,5,5,2,5,5,5,2,2,5,2,3,309
4,4,3,4,4,2,3,3,2,5,4,5,3,3,4,2,5,3,4,3,3,3,3,5,3,2,5,6,3,3,3,5,17,4,1,6,4,Lab Technician,40,6,1,5,5,4,5,3,2,1,4,3,2,4,4,4,4,4,3,4,4,4,2,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4,3,5,3,3,2,3,4,3,3,2,5,3,4,2,2,2,5,4,5,2,3,4,1,570
5,5,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,5,4,4,4,5,4,4,5,30,2,1,6,3,Education,40,22,6,5,6,5,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,5,4,4,4,4,3,4,4,4,3,4,4,3,3,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,2,255
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,4,5,5,5,7,1,1,7,1,1,1,7,7,26,1,1,5,7,IT Manager,45,25,6,3,6,3,2,2,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,7,7,7,6,7,2,2,1,1,1,1,1,2,3,398
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,6,2,6,6,6,6,6,5,7,1,2,5,1,1,2,7,6,37,4,1,4,5,IT Director,40,36,6,6,6,4,5,4,4,4,4,5,4,5,5,4,5,5,3,4,4,4,4,3,3,4,5,5,4,5,5,5,5,5,4,4,4,4,4,3,1,1,1,1,1,1,1,7,6,7,7,7,4,3,4,4,3,1,2,3,3,261
7,7,1,7,7,7,7,7,7,2,7,7,1,1,7,7,1,7,7,7,6,6,7,7,1,1,7,1,1,1,7,6,37,1,2,3,6,paralegal,45,37,5,6,6,6,6,6,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5,3,2,4,2,4,5,5,5,5,5,5,5,5,5,2,2,4,7,2,5,2,2,2,2,7,6,5,2,6,3,3,6,3,6,3,6,6,3,381
6,6,2,6,6,6,6,6,6,2,5,6,2,2,6,6,2,6,6,5,6,6,6,6,2,2,5,2,2,2,6,6,35,1,1,5,7,Fabrication Manager,45,31,1,4,6,5,3,6,4,4,4,4,4,4,4,3,4,4,3,4,3,4,2,2,3,3,3,3,3,5,3,4,5,4,4,4,3,2,4,3,3,3,3,3,3,3,3,5,4,4,5,4,3,3,4,3,5,4,5,5,3,339
6,7,1,7,7,6,6,7,7,1,7,7,1,1,7,6,4,5,4,4,1,4,4,5,4,1,6,6,1,1,7,4,41,1,2,5,3,technical assistant,40,36,1,6,7,2,2,1,5,5,5,2,4,5,5,5,5,4,4,5,5,5,5,3,3,5,4,5,2,5,5,5,5,5,4,4,1,2,3,1,1,1,1,1,1,1,1,7,7,7,6,7,1,1,6,7,4,1,4,7,3,266
6,5,2,6,6,4,4,5,4,3,5,5,2,2,5,6,3,5,5,5,3,3,5,2,1,1,7,3,2,3,5,5,40,1,2,6,10,office assistant,40,22,1,5,6,7,5,5,2,2,2,2,2,4,4,1,5,4,4,4,4,4,3,4,3,4,2,4,5,5,5,5,5,5,4,5,4,5,4,4,1,1,1,1,1,1,1,5,5,5,3,5,3,3,5,5,6,5,6,7,2,169
6,6,2,6,6,6,6,6,6,6,6,6,2,2,6,4,4,5,4,5,5,5,5,6,2,4,3,3,2,2,5,4,43,3,2,5,10,Cosmetic Specialist/ Manager,55,42,5,4,4,4,3,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4,4,4,5,5,5,5,5,4,5,4,4,4,4,3,3,3,3,3,3,3,6,4,4,4,4,2,2,4,3,2,3,3,3,2,433
7,6,2,7,6,5,6,6,5,2,6,7,1,1,5,7,3,6,4,3,4,4,3,6,2,1,5,2,1,2,6,6,54,1,1,6,10,Life Insurance Sales,40,46,5,4,5,4,4,4,5,5,5,3,4,5,5,4,5,3,5,5,4,5,5,4,5,5,5,5,4,5,4,5,5,5,3,3,3,3,4,3,3,3,1,1,2,1,1,7,5,5,6,7,4,4,6,6,1,1,1,1,3,5
7,7,1,6,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,6,1,1,1,7,7,24,1,2,4,8,retail lead manager,40,26,1,7,7,1,7,6,4,4,4,4,4,5,5,1,5,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,4,4,4,1,1,1,1,1,1,1,7,7,7,7,6,7,7,7,7,2,1,5,1,3,9
7,7,1,7,7,7,7,7,7,1,7,7,1,7,7,7,1,7,7,7,7,7,7,7,2,1,5,1,1,1,5,5,11,1,1,5,8,Retail Store Manager,40,12,1,6,6,3,5,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,4,5,5,5,5,4,4,5,4,5,2,4,7,5,5,5,5,5,4,4,4,4,4,3,2,2,4,4,3,3,5,5,3,156
5,5,5,5,5,5,5,5,5,3,5,5,2,2,5,5,4,4,4,5,5,5,5,6,3,2,5,3,2,2,5,5,30,1,1,6,3,teacher,40,21,5,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,197
